Company Name,Car Name,Launch Year,MD/CEO
TataMotors,Nexon,2017,shailesh  chandra     
Renault,Kwid,2015,luca de meo   
Honda,City,1998,toshihiro mibe   
Maruti Suzuki,Swift,2005,hisashi takeuchi   
toyotabharat,Fortuner,2009,koji sato   
Maruti Suzuki,Brezza,2016,hisashi takeuchi   
Hyundai,Creta,2015,jaehoon   
Kia,Seltos,2019,ho sung song   
Mahindra,Thar,2010,anish shah   
Honda,Amaze,2013,toshihiro mibe   
Hyundai,Verna,2006,jaehoon   
Mahindra,Bolero,2000,anish shah   
TataMotors,Harrier,2019,shailesh chandra   
Mahindra,Scorpio,2002,anish shah   
Hyundai,Tucson,2022,jaehoon   
TataMotors,Punch,2021,shailesh chandra   
TataMotors,Safari,1998,shailesh chandra   
Hyundai,Venue,2019,jaehoon   
Honda,Jazz,2009,toshihiro mibe   
Mahindra,Marazzo,2018,anish shah   
Skoda,Slavia,2021,klaus zellmer   
Hyundai,Alcazar,2021,jaehoon   
Mahindra,XUV400,2023,anish shah   
TataMotors,Tiago,2016,shailesh chandra   
Volkswagen,Virtus,2022,oliver blume   
Skoda,Kushaq,2021,klaus zellmer   
TataMotors,Altroz,2020,shailesh chandra   