Flavour Name,Brand,Product Type
Bliss,Cadbury,Chocolate
Veg Hakka,Chings,Noodles
Hazelnut,Baskin Robbins,Ice Cream
Classic Salted,Parles,Chips
Swiss Brownie,Havmor,Ice Cream
Tomato,Kissan,Sauce
Atta Noodles,Maggie,Noodles
Cornetto,Kwality Walls,Ice Cream
Sizzling Hot,Lays,Chips
Chocolate chip,Cadbury,Cookies
Thai Sweet Chilli,Lays,Chips
Schezwan,Wingreens,Sauce
Mixed Fruit,Kissan,Jam
Silk,Cadbury,Chocolate
Pomegranate,Paper Boat,Juice
Mustard,Veeba,Sauce
Coconut Oats,Baker's Dozen,Cookies
Guava,B Natural,Juice
Blackberry,Bonne Maman,Jam
Spicy Treat,Uncle Chips,Chips
Ragi,Nutri Choice,Cookies
Alphonso Mango,NIC,Ice Cream
Rasberry,Gourmet Jar,Jam
Marble,Hershey,Chocolate
Nuts & Seeds,Max Protein,Cookies
Lychee,Paper Boat,Juice
Cheese,Malkist,Cookies
Mango,Kissan,Jam
Cranberry,Real,Juice
Chicken,Top Ramen,Noodles